16:31:11.909,array('B', [0])
16:31:11.928,array('B', [0])
16:31:11.939,array('B', [0])
16:31:11.959,array('B', [0])
16:31:11.970,array('B', [0])
16:31:11.990,array('B', [0])
16:31:12.001,array('B', [0])
16:31:12.029,array('B', [0])
16:31:12.040,array('B', [0])
16:31:12.051,array('B', [0])
16:31:12.062,array('B', [0])
16:31:12.081,array('B', [0])
16:31:12.091,array('B', [0])
16:31:12.102,array('B', [0])
16:31:12.119,array('B', [0])
16:31:12.130,array('B', [0])
16:31:12.148,array('B', [0])
16:31:12.160,array('B', [0])
16:31:12.182,array('B', [0])
16:31:12.192,array('B', [0])
16:31:12.212,array('B', [0])
16:31:12.223,array('B', [0])
16:31:12.242,array('B', [0])
16:31:12.253,array('B', [0])
16:31:12.272,array('B', [0])
16:31:12.283,array('B', [0])
16:31:12.303,array('B', [0])
16:31:12.313,array('B', [0])
16:31:12.333,array('B', [0])
16:31:12.343,array('B', [0])
16:31:12.362,array('B', [0])
16:31:12.373,array('B', [0])
16:31:12.393,array('B', [0])
16:31:12.404,array('B', [0])
16:31:12.423,array('B', [0])
16:31:12.434,array('B', [0])
16:31:12.454,array('B', [0])
16:31:12.464,array('B', [0])
16:31:12.477,array('B', [0])
16:31:12.488,array('B', [0])
16:31:12.498,array('B', [0])
16:31:12.510,array('B', [0])
16:31:12.521,array('B', [0])
16:31:12.538,array('B', [0])
16:31:12.549,array('B', [0])
16:31:12.569,array('B', [0])
16:31:12.582,array('B', [0])
16:31:12.599,array('B', [0])
16:31:12.610,array('B', [0])
16:31:12.638,array('B', [0])
16:31:12.649,array('B', [0])
16:31:12.660,array('B', [0])
16:31:12.670,array('B', [0])
16:31:12.681,array('B', [0])
16:31:12.698,array('B', [0])
16:31:12.709,array('B', [0])
16:31:12.721,array('B', [0])
16:31:12.732,array('B', [0])
16:31:12.751,array('B', [0])
16:31:12.763,array('B', [0])
16:31:12.789,array('B', [0])
16:31:12.802,array('B', [0])
16:31:12.821,array('B', [0])
16:31:12.832,array('B', [0])
16:31:12.851,array('B', [0])
16:31:12.862,array('B', [0])
16:31:12.878,array('B', [0])
16:31:12.889,array('B', [0])
16:31:12.903,array('B', [0])
16:31:12.914,array('B', [0])
16:31:12.944,array('B', [0])
16:31:12.954,array('B', [0])
16:31:12.973,array('B', [0])
16:31:12.984,array('B', [0])
16:31:13.005,array('B', [0])
16:31:13.016,array('B', [0])
16:31:13.027,array('B', [0])
16:31:13.038,array('B', [0])
16:31:13.058,array('B', [0])
16:31:13.069,array('B', [0])
16:31:13.089,array('B', [0])
16:31:13.101,array('B', [0])
16:31:13.119,array('B', [0])
16:31:13.130,array('B', [0])
16:31:13.150,array('B', [0])
16:31:13.162,array('B', [0])
16:31:13.173,array('B', [0])
16:31:13.188,array('B', [0])
16:31:13.198,array('B', [0])
16:31:13.212,array('B', [0])
16:31:13.222,array('B', [0])
16:31:13.243,array('B', [0])
16:31:13.254,array('B', [0])
16:31:13.272,array('B', [0])
16:31:13.284,array('B', [0])
16:31:13.313,array('B', [0])
16:31:13.324,array('B', [0])
16:31:13.337,array('B', [0])
16:31:13.348,array('B', [0])
16:31:13.373,array('B', [0])
16:31:13.383,array('B', [0])
16:31:13.395,array('B', [0])
16:31:13.406,array('B', [0])
16:31:13.432,array('B', [0])
16:31:13.443,array('B', [0])
16:31:13.456,array('B', [0])
16:31:13.467,array('B', [0])
16:31:13.495,array('B', [0])
16:31:13.506,array('B', [0])
16:31:13.523,array('B', [0])
16:31:13.534,array('B', [0])
16:31:13.548,array('B', [0])
16:31:13.559,array('B', [0])
16:31:13.586,array('B', [0])
16:31:13.598,array('B', [0])
16:31:13.609,array('B', [0])
16:31:13.621,array('B', [0])
16:31:13.641,array('B', [0])
16:31:13.654,array('B', [0])
16:31:13.671,array('B', [0])
16:31:13.682,array('B', [0])
16:31:13.692,array('B', [0])
16:31:13.703,array('B', [0])
16:31:13.713,array('B', [0])
16:31:13.733,array('B', [0])
16:31:13.744,array('B', [0])
16:31:13.772,array('B', [0])
16:31:13.783,array('B', [0])
16:31:13.794,array('B', [0])
16:31:13.805,array('B', [0])
16:31:13.834,array('B', [0])
16:31:13.845,array('B', [0])
16:31:13.864,array('B', [0])
16:31:13.875,array('B', [0])
16:31:13.894,array('B', [0])
16:31:13.905,array('B', [0])
16:31:13.924,array('B', [0])
16:31:13.935,array('B', [0])
16:31:13.954,array('B', [0])
16:31:13.965,array('B', [0])
16:31:13.985,array('B', [0])
